class: 1  ap: 0.9000321830970569
class: 2  ap: 0.9080759464693305
class: 3  ap: 0.9940711462450593
class: 4  ap: 0.8870043000477783
class: 5  ap: 0.688489461990538
class: 6  ap: 0.7208390371133653
class: 7  ap: 0.9087110088414485
class: 8  ap: 0.9441238888574914
class: 9  ap: 0.8500279258798402
class: 10  ap: 0.9231795302405363
class: 11  ap: 0.5487245693710303
class: 12  ap: 0.7438042809458647
class: 13  ap: 0.7338443463244384
class: 14  ap: 0.9288183728095154
class: 15  ap: 0.7155216949577505
class: 16  ap: 0.6401157371831909
class: 17  ap: 0.8593226195660664
class: 18  ap: 0.9802696774234133
class: 19  ap: 0.7186228092319087
class: 20  ap: 1.0
all map0.7796799268297811
