class: 1  ap: 0.907672024035271
class: 2  ap: 0.9087625701372174
class: 3  ap: 0.8561122589531681
class: 4  ap: 0.8991908091908093
class: 5  ap: 0.7329955830851032
class: 6  ap: 0.6632046335799706
class: 7  ap: 0.5512446628184532
class: 8  ap: 0.778977936379041
class: 9  ap: 0.854645186475606
class: 10  ap: 0.9062892653555183
class: 11  ap: 0.3098621966269025
class: 12  ap: 0.7504795131845187
class: 13  ap: 0.6916159065390933
class: 14  ap: 0.8295426216845866
class: 15  ap: 0.7999320595798118
class: 16  ap: 0.7563768946857512
class: 17  ap: 0.9078347847389703
class: 18  ap: 0.9544698920214706
class: 19  ap: 0.7823423090684776
class: 20  ap: 1.0
all map0.7920775554069871
